2,3.8241,7.5521,3.5792,7.9104,4.4671,5.0139,5.8103
5,3.2279,5.7012,3.6182,5.6667,5.8676,6.0888,6.6056
7,4.0120,8.7097,6.1766,9.1932,8.1967,7.9235,8.5044
18,1.2925,6.1108,2.5233,1.8950,3.1322,4.1604,3.6541
19,3.7453,8.5672,3.9086,5.6220,6.1381,6.8510,7.5644
21,3.3311,8.4866,5.3429,8.7179,5.5976,5.7436,6.8531
29,3.6258,7.9387,4.9780,9.2496,5.7678,5.5882,6.1379
30,2.0768,0.5388,2.8455,4.0486,0.9194,5.3606,3.9254
33,2.1567,7.4953,4.2802,6.7123,3.8529,4.0802
34,5.3704,9.6856,6.5772,10.1190,6.7079,4.7639,8.2905
35,0.8973,5.8134,3.5560,5.7811,4.3025,4.9630,5.6504
36,0.0000,0.0000
37,1.7247,3.6486,1.2964,3.4335,1.8846,2.1693,1.4404
38,1.0433,4.7184,3.0612,8.9005,5.1070,5.2783,5.4189
41,4.4183,4.3909,3.8514,6.3291,4.2184,4.3639,5.8647
42,3.7037,5.6442,3.9670,7.6369,5.9919,4.8171,6.3708
43,5.9426,7.5630,5.6574,4.9904,6.9025,5.9623,7.1429
44,2.3776,7.8818,4.5862,7.9687,4.9071,5.5500,5.9459
45,3.2520,3.3604,4.6351,8.6294,5.7047,4.6944,5.8636
46,4.2481,7.1093,5.5457,9.9812,5.7971,6.3666,5.3571
48,3.6782,6.1051,4.2589,8.7344,5.4874,4.9827,5.2157
65,4.7579,4.8476,6.5448,8.7891,6.7797,7.0588,7.7591
66,0.9777,6.9503,4.4040,7.0149,4.7323,5.3539,6.3226
67,4.6012,5.9717,4.1183,6.7529,4.3120,5.4028,6.0924
68,2.9804,7.9289,4.8394,9.2105,6.9565,6.6425,7.6923
69,4.4150,7.8458,4.8616,9.7606,4.9034,5.6877,6.5971
70,4.7923,7.2165,6.0918,6.6815,5.3975,7.2198,6.4482
71,3.1447,4.4456,3.0532,6.8915,5.3398,5.7524,5.1483
72,3.9917,5.5356,4.4834,8.5714,5.1736,3.7310,2.1004
82,4.2123,6.7059,3.2712,5.4276,5.3153,4.6565
83,5.1195,6.5852,1.8653,4.4748,4.7438,6.4266
84,5.5679,8.8678,6.1020,6.4272,6.6351,7.6332
85,1.8970,7.0019,5.1784,4.4338,5.3439,5.7315
86,3.9620,9.5702,6.1588,8.0000,7.6459,7.8051
87,3.1562,8.4309,5.4908,7.1795,6.6910,7.4054
88,6.3348,8.0402,4.2070,6.1017,5.7864,7.2609
90,2.6652,5.6692,3.5589,3.7015,4.1112,4.2827
91,2.9536,5.3606,4.9163,3.6066,4.2523,1.8146
92,5.5453,7.3312,4.3506,5.6716,5.3137,6.0260,5.5724
95,3.8412,5.7143,3.7315,6.0256,4.6135,3.6727,4.1726
96,3.2176,4.0313,3.3294,9.2105,5.2632,5.1879,6.5058
97,2.8699,6.7199,2.0449,0.0000,3.4809,4.3519,5.9629
108,2.8736,6.4846,4.2805,8.7814,3.7109,5.4103,5.0657
109,3.1447,6.5231,4.1836,7.4355,3.1907,4.7223,4.8346
110,6.6593,5.5698,5.3809,2.5850,5.6705,4.4674,6.1106
111,4.0733,7.0312,4.3216,8.2117,4.7482,4.1462,4.8875
113,3.6430,5.2065,3.1972,3.3395,2.5492,3.7482,3.5501
114,2.4570,5.9874,4.6290,5.7457,5.8507,5.0251,4.0094
115,5.5970,8.2769,5.7076,10.4167,8.0645,6.4370,7.0801
116,4.3165,6.6441,5.1144,6.7493,5.3085,5.1924,5.5167
117,4.1265,7.2464,2.8678,6.9737,5.1178,5.0146,5.3551
118,2.2014,8.0851,3.1449,10.1732,7.0588,6.6077,7.2095
119,1.0502,5.9214,1.4604,3.6517,2.9682,3.4548,3.4389
120,5.4250,6.6327,3.9015,10.3814,7.0524,5.1404,3.5632
124,2.9197,8.4302,5.7420,0.0000,6.9164,4.7672,8.3196
125,6.0000,9.6365,6.0230,5.6716,7.1380,7.1009
126,3.8083,6.6949,5.8370,5.2814,5.4132,4.9197
127,5.4397,8.1664,6.2195,0.0000,6.1069,5.0461
128,6.1412,7.3996,5.3283,8.5217,5.1530,5.7049,5.9559
129,5.9940,7.4169,4.4831,9.5331,3.8255,5.7512,5.9420
